company_name,scraped_data
BD,"""BD Mission, Vision & ValuesBD Mission Statementour purpose of """"""""Helping all people live healthy lives.""""""""BD Vision Statement We envision a world where our solutions advance healthcare and improve worker and patient safety. To make this world of difference"
Union Square Hospitality Group,null
GHX,"GHX Mission, Vision & ValuesGHX Mission Statement Global Healthcare Exchange (GHX) enables better patient care and billions in savings for the healthcare community by maximizing automation, efficiency and accuracy of business processes.GHX Vision StatementGHX: It’s the way you do business in healthcare.GHX Values Innovation Collaboration Inspire GrowGHX Mission, Vision & Values"
Jewel Food Stores,null
Boston Red Sox,null
Worthington Industries,"Worthington Industries Mission, Vision & Values Worthington Industries Mission Statement The first corporate goal for Worthington Industries is to earn money for its shareholders and increase the value of their investment.   We believe that the best measurement of the accomplishment of our goal is consistent growth in earnings per share.    OUR GOLDEN RULE  - We treat our customers, employees, investors and suppliers, as we would like to be treated.    PEOPLE  - We are dedicated to the belief that people are our most important asset.  - We believe people respond to recognition, opportunity to grow and fair compensation.  - We believe that compensation should be directly related to job performance and therefore use incentives, profit sharing or otherwise, in every possible situation.  - From employees we expect an honest day's work for an honest day's pay.  - We believe in the philosophy of continued employment for all Worthington people.  - In filling job openings, every effort is expended to find candidates within Worthington, its divisions or subsidiaries.    CUSTOMERS  - Without the customer and their need for our products and services we have nothing.  - We will exert every effort to see that the customer's quality and service requirements are met.  - Once a commitment is made to a customer, every effort is made to fulfill that obligation.    SUPPLIERS  - We cannot operate profitably without those who supply the quality materials we need.  - We ask that suppliers be competitive in the marketplace with regard to quality, pricing, delivery and volume purchased.  - We are a loyal customer to suppliers who meet our quality and service requirements through all market conditions.    ORGANIZATION  - We believe in a divisionalized organizational structure with responsibility for performance resting with the head of each operation.  - All managers are given the operating latitude and authority to accomplish their responsibilities within our corporate goals and objectives.  - In keeping with this philosophy, we do not create excessive corporate procedures. If procedures are necessary within a particular company operation, that manager creates them.  - We believe in a small corporate staff and support group to service the needs of our shareholders and operating units as requested.    COMMUNICATION  - We communicate through every possible channel with our customers, employees, shareholders, suppliers and financial community.    CITIZENSHIP  - Worthington Industries practices good citizenship at all levels. We conduct our business in a professional and ethical manner.  - We encourage all our people to actively participate in community affairs.  - We support worthwhile community causes.Worthington Industries Values Employees Stability Innovation Worthington Industries Mission, Vision & Values"
Raging Waters,"Waters Corporation Mission, Vision & Values Waters Corporation Mission & Values Customer success is our mission. Waters creates business advantages for laboratory-dependent organizations by delivering practical and sustainable scientific innovation to enable significant advancements in such areas as healthcare delivery, environmental management, food safety, water quality, consumer products, and high value-added chemicals.Waters Corporation Mission, Vision & Values"
Harris Teeter,"""Harris Teeter Mission, Vision & Values Harris Teeter Mission & Values Harris Teeter employees are encouraged to """"""""take excellent care of customers"
East West Bank,"East West Banking Mission, Vision & Values East West Banking Mission Statement Providing them with excellent service in the delivery of integrated and innovative products, responsive to their current and future financial needs, at the best value.East West Banking Vision Statement To be a world-class bank anchored on service excellence in our chosen markets East West Banking Values Integrity Excellence Mutual concern Teamwork and individual initiative Corporate pride Sense of urgency Leadership East West Banking Mission, Vision & Values"
Rutherford County Schools - Tennessee,null
Conroe Independent School District,null
Minuteman Press,"Minuteman Press Mission, Vision & Values Minuteman Press Mission & Values Putting quality people from all walks of life into business for themselves by giving them the freedom to run and manage their own successful Minuteman Press franchise while providing a support system that is unmatched in the digital printing,graphic design, promotional products, and marketing industries.Minuteman Press Mission, Vision & Values"
FC Dallas,"Children's Medical Center Dallas Mission, Vision & Values Children's Medical Center Dallas Mission & Valuesour mission has been to make life better for children Children's Medical Center Dallas Vision Statement We have a long-standing commitment to our community that includes advocacy, education and preventive care, as well as making sure that all children are insured.Children's Medical Center Dallas Mission, Vision & Values"
A.T. Still University,null
Northwestern State University,null
Christ Community Church,null
Hudson,"Hudson Mission, Vision & Values Hudson Mission Statementwe want to be the world's best at helping employers achieve success through people. At each step of the relationship with our clients and candidates, we deliver value, advice and an expert point of view.Hudson Values Hudson Mission, Vision and Values Integrity: We embrace and uphold the highest standards of personal and professional ethics, honesty and trust. Respect: We treat everyone with uncompromising respect, civility and fairness. Collaboration: We work as team and share knowledge for continuous improvement, learning and innovation. More items...Hudson Mission, Vision & Values"
SXSW,null
Real Estate One,null
JPL,null
Eastern Washington University,null
Tapestry,null
World Market,"World Market Mission, Vision & Values World Market Mission & Values The store quickly became a destination for those who craved original and handmade items from around the world. Items were sold at cost, plus ten percent - hence the name Cost Plus World Market!World Market Mission, Vision & Values"
Gateway,"Gateway Mission, Vision & Values Gateway Mission Statementwe are committed to delivering innovative technology solutions and an outstanding customer experience.Gateway Vision Statement Like our values, our vision and mission define what we do—day to day, week to week, year to year. First and foremost, we are committed to delivering innovative technology solutions and an outstanding customer experience.  To accomplish this, we are dedicated to asking our customers what they want from their technology and their technology company. We are also dedicated to listening to the feedback we receive, which will then be incorporated into our products and services to better serve our customers' needs.Gateway Values Honesty Common sense Accountability Quality Teamwork Fun Gateway Mission, Vision & Values"
Cingular Wireless,null
Miami Dade College,null
Austin College,null
Recovery Centers of America,null
WTNH-TV,"Samba TV Mission, Vision & Values Samba TV Mission Statement Our mission is to create data at the heart of TV, powering a more scientific approach to advertising and a better viewing experience for everyone.Samba TV Vision Statement Our vision is a world where everyone is more deeply connected to what they love through TV.Samba TV Values Intellectual Honesty Determination Results Curiosity Humility Samba TV Mission, Vision & Values"
Naval Facilities Engineering Systems Command (NAVFAC),null
CREC,null
Yonkers Public Schools,null
"McCarter & English, LLP","Mc Carter & English Mission, Vision & Values Mc Carter & English Mission & Values Our goal is to walk the walk. Like our clients, our attorneys come from a wide range of industries, geographies, and cultures. O Mc Carter & English Mission, Vision & Values"
Hand & Stone Massage and Facial Spa,"Handy HQ Mission, Vision & Values Handy HQ Mission & Values We make booking household services faster and simpler!Handy HQ Mission, Vision & Values"
SMG | Worldwide Entertainment & Convention Venue Management,null
Spacelabs Healthcare,"Spacelabs Healthcare Mission, Vision & Values Spacelabs Healthcare Mission & Values At Spacelabs, we connect innovation with patient care by providing quality life-saving products and services that meet or exceed our customers expectations. We are passionate about providing Better Every Single Time (BEST) quality with a customer-first focus. our commitment to helpingour customersdeliver the highest quality of patient care.Spacelabs Healthcare Mission, Vision & Values"
Tyler ISD,null
Golden State Warriors,"Golden State Warriors Mission, Vision & Values Golden State Warriors Mission Statement Our mission is to strengthen and empower underserved communities by providing programs and activities that promote self -esteem, respect, integrity, teamwork and literacy.Golden State Warriors Values Indeed, Warriors Head Coach Steve Kerr has deliberately shaped the Warriors' team culture around four core values: joy, mindfulness, compassion, and competition.Jun 14, 2017 Golden State Warriors Mission, Vision & Values"
Wisconsin Department of Justice,null
LifeBridge Health,"Life Bridge Health Mission, Vision & Values Life Bridge Health Mission Statement The Department of Pathology at Life Bridge Health has a mission is to deliver high quality, cost effective Pathology services to the people of northwest Baltimore City and County. The standards of professionalism will remain at the highest level to promote a feeling of well-being to both patients and staff. The product of our services will be maintained at the highest level of quality so as to ensure the best diagnostic results for both the patient and the attending physician. In addition, the Department of Pathology will deliver this care with sensitivity to the needs of our Jewish patients and staff and assert traditional Jewish values of excellence, compassion and community concern for all. Finally, the Department of Pathology is also committed to assisting the hospital in its mission in the provision of medical education and educational programs to its health professionals, employees, and the community at large.Life Bridge Health Vision Statement To improve the health of the individuals and communities we serve through compassionate, high quality care.Life Bridge Health Values Service Performance Innovation Respect Integrity Teamwork Life Bridge Health Mission, Vision & Values"
Federal Bureau of Investigation (FBI),"Federal Bureau of Investigation Mission, Vision & Values Federal Bureau of Investigation Mission & Values To protect the American people and uphold the Constitution of the United States.Federal Bureau of Investigation Mission, Vision & Values"
PATH,"Path Mission, Vision & Values Path Mission & ValuesPATH is a global team of innovators working to increase health equity so people, communities, and economies can thrive.Path Mission, Vision & Values"
HMS,"HMS Host Mission, Vision & ValuesHMS Host Mission StatementHMS Host Foundation is a 501(c)(3) Charity whose mission is to fight poverty in the local community with food, shelter, education, and workforce development.HMS Host Values Be passionatebe openset the pacebe reliablekeep it simpleHMS Host Mission, Vision & Values"
Omnitracs,"Omnitracs Mission, Vision & Values Omnitracs Mission Statement Omnitracs' mission is to provide the best in mobile-based business intelligence for the ever-evolving transportation and logistics industry. To this end, the Omnitracs senior leadership team fosters and supports the ingenuity that enables the company to leverage mobile technology to solve problems and increase profitability for fleets around the world.Omnitracs Vision Statement Omnitracs' senior leadership team has empowered our fleet management company to grow its portfolio and provide our customers with the technology they need to lower costs, improve service, and increase driver satisfaction, all while enhancing driver safety. Our dedication to developing valuable products for fleet managers has made us a key provider of solutions for the industry's top fleet management companies.Omnitracs Values Omnitracs' culture can also be captured in our core values: • INTEGRITY – We act ethically and responsibly in all areas of our business. • RESPECT – We are accountable to our customers and to each other. • TEAMWORK – We collaborate and work toward the common goal of success. More items...Omnitracs Mission, Vision & Values"
Ensign College,"San Joaquin Valley College Mission, Vision & Values San Joaquin Valley College Mission Statement Our mission is to provide our students with a high-quality education that allows them to enter the workforce with confidence and provide a service that helps others. Our work makes the world a better place, and it’s our team of talented employees that make it all possible.San Joaquin Valley College Values Family: We started as a family business and that is infused into everything we do.Integrity: Our employees are proud of the work they do so that our students can be proud of their accomplishments.Professionalism: We take ownership of our actions and hold each other accountable. Everyone’s thoughts and ideas are valuable here.Diversity: Our differences are our strengths. By uplifting each other as individuals, we make the whole team stronger. There is a place for you here.Communication: We show unwavering authenticity in our words and transparency in our intentions.Success: Our team is committed to acting as one in our relentless pursuit of new goals, higher standards, and the greater good of the college.San Joaquin Valley College Mission, Vision & Values"
University of Connecticut,null
Peterbilt Motors Company,null
Scripps Health,"Scripps Health Mission, Vision & Values Scripps Health Mission Statement The Scripps mission is simple and heartfelt Scripps strives to provide superior health services in a caring environment and to make a positive, measurable difference in the health of individuals in the communities we serve.    We devote our resources to delivering quality, safe, cost effective, socially responsible health care services. We advance clinical research, community health education, education of physicians and health care professionals and sponsor graduate medical education.    We collaborate with others to deliver the continuum of care that improves the health of our community.Scripps Health Vision Statement Scripps Health will continue to be the leading health care delivery system in the greater San Diego community, as evidenced by the highest clinical quality, patient safety, and patient, physician and employee satisfaction. This will be achieved through unending focus on patient-centered and compassionate care, cost-effective operations, research, advanced technology and innovation.Scripps Health Values We provide the highest quality of service We demonstrate complete respect for the rights of every individual We care for our patients every day in a responsible and efficient manner Scripps Health Mission, Vision & Values"
Comcast Spectacor,null
American Electric Power,"American Electric Power Mission, Vision & Values American Electric Power Mission & Values Together, with our customers, we are redefining the future of energy and developing innovative solutions that power communities and improve lives.American Electric Power Mission, Vision & Values"
Hillsboro School District,null
City and County of Honolulu,null
Washington Hospital Healthcare System,"Washington Hospital Healthcare System Mission, Vision & Values Washington Hospital Healthcare System Mission Statement Our mission is to meet the healthcare needs of the District residents through medical services, education and research Washington Hospital Healthcare System Vision Statement To support the fulfillment of the mission, the District's strategic vision is to be the regional medical center of choice in Southern Alameda County offering quality services that span the full range of care within the available financial resources.Washington Hospital Healthcare System Values Curious Passionate Authentic Accountable Washington Hospital Healthcare System Mission, Vision & Values"
City of Detroit,null
USC Gould School of Law,null
Wisconsin Department of Public Instruction,null
LKQ Corporation,"""LKQ Corporation Mission, Vision & ValuesLKQ Corporation Mission & Valuesour mission statement prominently includes the goal of """"building strong partnerships with our employees and the communities in which we operate."""" LKQ Corporation is committed to treating all employees with dignity and respect. The maintenance of safe and proper working conditions for our employees is a high priority"
Care New England,null
RITE AID,"Rite Aid Mission, Vision & Values Rite Aid Mission Statement Our plan to get there. To improve the health and wellness of our communities through engaging experiences that provide our customers with the best products, services and advice to meet their unique needs.Rite Aid Vision Statement What we aspire to be. Customers confidently choose us first for their everyday health and wellness needs because we consistently understand and exceed their expectations.Rite Aid Values Passion For Our Customers Caring Neighbors Associate Development Respect Commitment to Diversity Winning Through Teamwork Accountability Integrity In All We Do Value For Our Stakeholders Rite Aid Mission, Vision & Values"
ViacomCBS,"ViacomCBS Mission, Vision & Values ViacomCBS Mission Statement Viacom's goal is to be the world’s leading, branded entertainment company across television, motion pictures and digital media platforms. We focus on our consumers, enhancing our existing brands, developing new brands and executing on our multiplatform strategy to reach this objective and sustain growth. By capitalizing on our creative strengths and deepening our relationships with audiences, advertisers, distribution affiliates, talent and licensees, Viacom is positioned to achieve continued or greater global success.ViacomCBS Vision Statement Our vision is that, collectively, our initiatives add up to the whole package: a culture of inclusion and belonging that is embedded in our company and values.ViacomCBS Values Bravery Empathy Honesty ViacomCBS Mission, Vision & Values"
Aegis Sciences Corporation,null
Grand Valley State University,null
Blackstone,null
Safeguard Business Systems,null
Santa Clara Valley Medical Center,null
California Department of Justice,null
California State University-San Bernardino,null
Loyola University Chicago School of Law,null
SCANA Corporation,"SCANA Corporation Mission, Vision & ValuesSCANA Corporation Mission & Values To provide energy-related products to retail markets in the Southeast.SCANA Corporation Vision StatementSCANA Corporation is a company of committed people working together professionally to serve our customers profitably. While competition and technological advances constantly result in profound changes in the way we work, we will still hold ourselves to the same high professional and ethical standards our customers have come to expect.SCANA Corporation Mission, Vision & Values"
Little Company of Mary Hospital,null
Florida State University,null
Saint Francis Hospital,"Saint Francis Hospital and Medical Center Mission, Vision & Values Saint Francis Hospital and Medical Center Mission & Values We, Trinity Health, serve together in the spirit of the Gospel as a compassionate and transforming healing presence within our communities.Saint Francis Hospital and Medical Center Mission, Vision & Values"
Alzheimer's Association®,null
The Arc of the United States,null
Eddie Bauer,"Eddie Bauer Mission, Vision & Values Eddie Bauer Mission & Values In conjunction with innovative design and exceptional customer service, Eddie Bauer offers premium-quality clothing, accessories and gear for men and women that complement today's modern outdoor lifestyle.Eddie Bauer Vision Statement To be the best global, multichannel, active outdoor lifestyle brand; the outfitter of choice for your life s adventures.Eddie Bauer Mission, Vision & Values"
Duke Energy Corporation,"Duke Energy Corporation Mission, Vision & Values Duke Energy Corporation Mission Statement We are one of the largest electric power holding companies in the United States, providing electricity to 7.6 million retail customers in six states. We have approximately 49,500 megawatts of electric generating capacity in the Carolinas, the Midwest and Florida – and natural gas distribution services serving more than 1.6 million customers in Ohio, Kentucky, Tennessee and the Carolinas. Our commercial business owns and operates diverse power generation assets in North America, including a portfolio of renewable energy assets. We are transforming our customers’ experience, modernizing our energy grid, generating cleaner energy and expanding our natural gas infrastructure to create a smarter energy future for our customers.Duke Energy Corporation Values Honesty Intergrity Accountability Diversity Environmental Stewardship Duke Energy Corporation Mission, Vision & Values"
Save A Lot,"Save-A-Lot Mission, Vision & Values Save-A-Lot Mission Statement Our guiding principle is to be shopper-centric. While we are always mindful of costs and efficiencies, in the end our decisions and actions are guided by how we can best meet the needs and wants of the value-seeking shopper.Save-A-Lot Vision Statement Great Food: We procure, distribute and market a carefully selected assortment of high quality food and household needs, emphasizing our own exclusive brands. Great Prices: Our highly efficient supply chain enables us to sell at prices well below other retailers, and our customers can use the money they save for other things that are important to them; necessities or fun times. Great People: We strive to provide a positive shopping experience in stores that are clean.Save-A-Lot Values Performance oriented.Embrace and lead change.Teamwork.Continually strengthen our team.cultureA culture of respect for all.Diversity.Discuss, Debate, Decide & Do.Save-A-Lot Mission, Vision & Values"
Vince,"Vince Mission, Vision & Values Vince Mission Statement To provide Online shoping for men and women Vince Values Services Vince Mission, Vision & Values"
"Trilogy Health Services, LLC","Trilogy Health Services Mission, Vision & Values Trilogy Health Services Mission & Values We are committed to exceeding our customer's expectations. Excellence is achieved by execution of our Trilogy Service Standards. The right employees make the difference. A servant's heart is the key to success. The team approach works best. Communication ensures that Together Everyone Achieves More. Pay attention to the details. The details separate the winners from the losers. Take what the company is doing very seriously, but not yourself. Our company has zero tolerance for egos or politics.Trilogy Health Services Vision Statement To be the Best Healthcare Company in the Midwest.Trilogy Health Services Mission, Vision & Values"
"Brasfield & Gorrie, LLC",null
John Tyler Community College,null
Alma College,null
Horizon Air,null
Plano ISD,null
Corteva Agriscience,null
Armstrong World Industries,"Armstrong World Industries Mission, Vision & Values Armstrong World Industries Mission Statement Let the buyer have faith Armstrong World Industries Vision Statement To become the best in the world at creating and delivering the most innovative ceiling solutions Armstrong World Industries Valuesrespectdignityhonestlyintegrityreliabilityforthrightness Armstrong World Industries Mission, Vision & Values"
Manhattan College,null
Watco Companies LLC,null
Salt River Project,"Salt River Project Mission, Vision & Values Salt River Project Mission & ValuesSRP delivers high-value electricity and water for the benefit of our customers, shareholders and the communities we serve.Salt River Project Mission, Vision & Values"
Hawaii Pacific University,"Hawaii Pacific University Mission, Vision & Values Hawaii Pacific University Mission & Values Mission: Hawai'i Pacific University is an international learning community set in the rich cultural context of Hawai'i. Students from around the world join us for an American education built on a liberal arts foundation. Our innovative undergraduate and graduate programs anticipate the changing needs of the community and prepare our graduates to live, work, and learn as active members of a global society."
Peoples Bank,null
Golden 1 Credit Union,null
Gymboree,"""Gymboree Mission, Vision & Values Gymboree Mission Statement""""""""Children are at the heart of everything we do. Childhood is filled with special moments every day and we design comfortable"
Michigan Technological University,null
Columbia Southern University,null
Outreach,"Outreach Mission, Vision & Values Outreach Mission Statement From that moment we’ve understood how technology can change the game for revenue teams. It’s what led us to believe in the power of salespeople to drive innovation. Today, we’re a determined team on a mission to change the way companies engage with their customers throughout their lifecycle.Outreach Vision Statement We believe that being a leader means inspiring others to the right actions.
"
We believe in setting unattainable goals and fighting our way to success.,null
We believe truth is discovered through relentless curiosity.,null
We believe in honesty, especially with ourselves.
We believe in ownership, we are all responsible for our customers' success.Outreach Values Have your back.Grit.Outreach Mission
CommuniCare Health Services,null
Tribune Media,"Tribune Media  Mission, Vision & Values Tribune Media  Mission & Values We create, produce and distribute outstanding content, trusted journalism, and digital data that informs, entertains, engages, and inspires millions of people every day.Tribune Media  Mission, Vision & Values"
Sylvester Comprehensive Cancer Center,"Comprehensive Pharmaceutical Services Mission, Vision & Values Comprehensive Pharmaceutical Services Mission & ValuesCPS helps hospital pharmacists tackle complex problems such as medication reconciliation, hyper-inflated drug costs, standardization, centralized distribution, regulatory & compliance, and 340B programs leading to increased quality, reduced admissions and lower costs. Services provided by CPS include pharmacy management Comprehensive Pharmaceutical Services Mission, Vision & Values"
Chevron Phillips Chemical Company,null
T. Rowe Price,"T. Rowe Price Group Mission, Vision & ValuesT. Rowe Price Group Mission & Values Our Mission Is Simple To Help clients around the world achieve their long-term investment goals.T. Rowe Price Group Mission, Vision & Values"
L.L.Bean,"L.L. Bean Mission, Vision & ValuesL.L. Bean Mission & Values At L.L.Bean, we design products that make it easier for families of all kinds to spend time outside together. Join us and Be an Outsider.L.L. Bean Mission, Vision & Values"
Kenvue,null
San Antonio Regional Hospital,null
Research and Business Development Center,null
"Community Connections, Inc.","Community Health Network Mission, Vision & Values Community Health Network Mission & Values About Community Health Network Deeply Committed. Each day we strive to improve health and well-being in the communities we serve. Patients First. You are at the center of everything we do. Your health and your family is our top priority. Connect with Office of Patient Experience. We PRIIDE Ourselves. Patients first. Relationships. Integrity.Community Health Network Mission, Vision & Values"
WesBanco,"Wes Banco Mission, Vision & Values Wes Banco Mission & Values Wes Banco Bank has always been committed to providing the best possible customer service. And, we rely on our dedicated employees to fulfill that commitment.Wes Banco Mission, Vision & Values"
Indian Health Service,null
"Trinity Industries, Inc.",null
City of Philadelphia – Department of Public Health,null
Hancock Whitney,null
Cotton Patch Cafe,"Cotton Patch Cafe Mission, Vision & Values Cotton Patch Cafe Mission & Values Our goal was to create a home-style family restaurant and serve up classic southern recipes made fresh from scratch in a warm, inviting atmosphere where guests feel at home. We arrive early in the day to chop, blend, batter and freshly prepare each tried and true recipe.Cotton Patch Cafe Mission, Vision & Values"
"Torch Technologies, Inc.",null
George P Johnson Experience Marketing,null
Davita Dialysis,"Da Vita Mission, Vision & Values Da Vita Mission & Values To Be the Provider, Partner and Employer of Choice  We aim to Build the Greatest Health Care Community the World Has Ever Seen through our commitment to upholding our Mission and Core Values for our patients, partners and teammates.Da Vita Vision Statement To Build the Greatest Healthcare Community the World has ever seen.Da Vita Mission, Vision & Values"
United States Military Academy at West Point,null
St. John Providence,null
Paradise Valley Community College,null
HomeSmart,"Home Smart Mission, Vision & Values Home Smart Mission & Values We will lead the residential real estate industry by providing the highest level of services, support and value to our customers - agents, brokers and homeowners alike - giving every individual the opportunity to fulfill their dreams and make one of the most important decisions of their life: where to call home.Home Smart Mission, Vision & Values"
Residence Inn,null
Stroock & Stroock & Lavan LLP,"Stroock & Stroock & Lavan LLP Mission, Vision & Values Stroock & Stroock & Lavan LLP Mission Statement Above all else, we at Stroock are firmly committed to helping our clients achieve great success in their business Stroock & Stroock & Lavan LLP Values Integrity Quality Collaboration Trust Personal Growth Individual Freedom One Firm Stewardship Stroock & Stroock & Lavan LLP Mission, Vision & Values"
Arizona Diamondbacks,null
Cottage Health,null
Kanakuk,null
State of Texas,null
South Carolina Department of Corrections,null
"Schnuck Markets, Inc.",null
Welch Allyn,null
NASA - National Aeronautics and Space Administration,null
Rensselaer Polytechnic Institute,null
XO Communications,"Xo Communications Mission, Vision & Values Xo Communications Mission Statement To provide the best overall client support in the industry.Xo Communications Values Our Vision and Values Integrity & Innovation. Customers turn to XO because they appreciate the superior customer experience and higher level of support we offer, and our commitment to the highest standards of ethics. ... Exceptional Customer Service. ... Enterprise-Grade Reliability. ... A Trusted Partner. ... Flexibility & Adaptability.Xo Communications Mission, Vision & Values"
West Pharmaceutical Services,null
Mosaic,"Mosaic North America Mission, Vision & Values Mosaic North America Mission Statemente believe in better. Because better doesn’t live in silos and never stops evolving. Because better knows that best is only temporary. We are Mosaic. We exist to make the world a better experience.Mosaic North America Vision Statement Mosaic is the recognized leader in making a positive difference in people's lives. We are passionate about services and partnerships that create meaningful lives in caring communities. Inspired by faith, we give voice to issues that affect people's lives.Mosaic North America Values Safety Respect Connection Integrity Mosaic North America Mission, Vision & Values"
El Paso Community College,null
"Agero, Inc.",null
Idaho State University,null
Cold Spring Harbor Laboratory,"Cold Spring Harbor Laboratory Mission, Vision & Values Cold Spring Harbor Laboratory Mission & Values The Watson School of Biological Sciences (WSBS) was founded on the belief that with well thought-out mechanisms, enthusiastic involvement of faculty, and highly motivated students, an innovative curriculum could be provided that would allow students to earn a doctoral degree in a shorter time than in traditional programs without compromising the quality of their training. The curriculum is designed to train students to become scholars and independent thinkers.Cold Spring Harbor Laboratory Mission, Vision & Values"
Penn State Health,null
BevMo!,"Bev Mo! Mission, Vision & Values Bev Mo! Mission Statement Find the perfect drink for every glass Bev Mo! Vision Statement Become the fastest growing alcoholic beverage retailer in the United States Bev Mo! ValuesWE WORK AS A TEAMWE TURN IDEAS INTO ACTION FASTWE MAKE FACT BASED DECISIONSWE WINWE DO THE HARDER RIGHTWE HAVE AS MUCH FUN AS YOU THINK Bev Mo! Mission, Vision & Values"
Museum of Science,null
Columbus State Community College,null
GSA,null
De Anza College,null
Meredith Corporation,null
PolyOne,"Poly One Mission, Vision & Values Poly One Mission Statement By committing to a journey of continuous improvement in each aspect of our business, we help drive efficiency and profitable growth in yours. Guided by the voice of the customer, we strive to reduce the complexity of your world, freeing you to turn your attention where it belongs: to your customers.Poly One Vision Statementour vision is to be the world’s premier provider of specialized polymer materials, services and solutions.Poly One Values Specialization Globalization Commercial excellence Operational excellence Poly One Mission, Vision & Values"
Cheyenne Regional Medical Center,null
BurgerFi,"Burger Fi Mission, Vision & Values Burger Fi Mission Statement Rede Fining the way the world eats burgers and enriching lives through the best burger experience.Burger Fi Values Be Family Burger Fi Mission, Vision & Values"
Atrium,"Atrium Mission, Vision & Values Atrium Mission Statement To build the workforce of tomorrow by putting people first.Atrium Vision Statement Personalized service we offer to every client and the importance of hiring talented, hard-working internal staff who embody our core values every day.Atrium Values Attentive Relationship-Driven Transparent Atrium Mission, Vision & Values"
---,null
Children's of Alabama,null
Famous Dave's of America,"Famous Dave's of America Mission, Vision & Values Famous Dave's of America Mission & Values Welcome to Famous Dave's, where our mission is to consistently exceed our guests' expectations Famous Dave's of America Mission, Vision & Values"
Zeta Tau Alpha Fraternity,null
Commonwealth of PA,null
AMC Networks,"AMC Networks Mission, Vision & ValuesAMC Networks Mission & ValuesAMC Networks is the ultimate destination for mold breaking, genre defying, and premier storytelling. Operating in over 125 countries worldwide, we’re the global leader in targeted subscription streaming and home to iconic and fan-favorite brands across television, independent film, production, distribution, gaming, and publishing.AMC Networks Vision Statement For AMC Networks employees, having a hand in bringing stories to life is more than a job. We are storytellers at heart – it’s who we are and is at the core of what we do. We take pride in creating and presenting compelling stories people love, with fictional or real characters that capture the imagination and endure. We value diversity and inclusion because we know that people from different backgrounds with different points of view, working together, is essential to our continued success. Join us as we look to further our future as the place where the world’s best stories are told.
"
We have a long history of building loyal and engaged fan communities, creating new formats
Grace Community Church,null
Ports America,null
Los Angeles Times,"Los Angeles Times Mission, Vision & Values Los Angeles Times Mission & Values The Los Angeles Times is the largest metropolitan daily newspaper in the country, with a daily readership of 1.4 million and 2.4 million on Sunday, more than 39 million unique latimes.com visitors monthly and a combined print and online local weekly audience of 4.3 million. The Pulitzer Prize-winning Times has been covering Southern California for more than 134 years.
"
Los Angeles Times’ businesses and affiliates also include The Envelope, Times Community News and Hoy Los Angeles which
Brigham Young University–Hawaii,null
PMG,"PMG-Advertising Agency Mission, Vision & ValuesPMG-Advertising Agency Mission & ValuesPMG is a digital agency that uses strategy, creative, media, and insights to deliver against its mantra of Digital Made for Humans (TM).PMG-Advertising Agency Mission, Vision & Values"
Highline Public Schools,null
iHeartMedia,"i Heart Media Mission, Vision & Valuesi Heart Media Mission & Values It is our mission to meet the needs of the communities we serve by listening closely and responding to local needs.i Heart Media Mission, Vision & Values"
Boise Cascade Company,null
Wisconsin Department of Natural Resources (DNR),null
Guidehouse,null
Honeywell,"Honeywell Mission, Vision & Values Honeywell Mission & Values At Honeywell, we are blending physical products with software solutions to link people and businesses to the information they need to be more efficient, more productive, and more connected.
"
Honeywell (www.honeywell.com) is a Fortune 100 software-industrial company that delivers industry specific solutions that include aerospace and automotive products and services; control technologies for buildings, homes
PGA of America,null
Behavior Frontiers,null
Genentech,"Genentech Mission, Vision & Values Genentech Mission & Values To develop drugs to address significant unmet medical needs.Genentech Vision Statement Genentech is a biotechnology company dedicated to pursuing groundbreaking science to discover and develop medicines for people with serious and life-threatening diseases. Our transformational discoveries include the first targeted antibody for cancer and the first medicine for primary progressive multiple sclerosis.Genentech Mission, Vision & Values"
Children's Hospital & Medical Center - Omaha,"Children's Hospital of Wisconsin Foundation Mission, Vision & Values Children's Hospital of Wisconsin Foundation Mission & Values Children's Hospital of Wisconsin Foundation provides philanthropic support to Children's Hospital of Wisconsin and its tax-exempt affiliates. The Foundation has advanced the Hospital's mission by securing endowment funds for a large number of programs and services related to pediatric patient care, education, research and advocacy for children. Our accomplishments include: helping to fund the creation of the Children's Hospital's child protection center and the child life program of education and play therapy for children; significant funding of the hospital's intensive care units' equipment; and funding for school-based health centers in Milwaukee schools.Children's Hospital of Wisconsin Foundation Mission, Vision & Values"
Barrow Neurological Institute,null
Hagerstown Community College,null
Whirlpool Corporation,"Whirlpool Corporation Mission, Vision & Values Whirlpool Corporation Mission Statement Earn trust and create demand for our brands in a digital world Whirlpool Corporation Vision Statement Be the best kitchen & laundry company, in constant pursuit of improving life at home Whirlpool Corporation Values Integrity Respect Teamwork Spirit of Winning Diversity with Inclusion Whirlpool Corporation Mission, Vision & Values"
Pollo Tropical,"Pollo Tropical Mission, Vision & Values Pollo Tropical Mission Statement Our Mission is to create customers who rave about us, employees who are loyal to us, and competitors who envy us.Pollo Tropical Values Work as a Team Dream Big Get it Done Innovate Make a Difference Play Fair Pollo Tropical Mission, Vision & Values"
Lazy Dog Restaurant & Bar,null
Yuba College,null
Crete Carrier Corporation,null
"MISTRAS Group, Inc.",null
Central Carolina Community College,null
